employee_id,name,bottle_per_month,month_year,employed_date
1,Michael Parker,32,2025-01-01 00:00:00,2023-02-19 00:00:00
2,Maria Ward,28,2025-01-01 00:00:00,2024-12-05 00:00:00
3,Marcus Clark,43,2025-02-01 00:00:00,2022-11-07 00:00:00
4,Jeffrey Luna,42,2025-01-01 00:00:00,2023-12-20 00:00:00
5,Lacey Ferguson,30,2025-01-01 00:00:00,2022-10-27 00:00:00
6,Randy Smith,35,2025-02-01 00:00:00,2023-05-15 00:00:00
7,Connie Keller,34,2025-01-01 00:00:00,2021-03-01 00:00:00
8,Jessica Parrish,18,2025-02-01 00:00:00,2020-11-21 00:00:00
9,Mary Jackson,49,2025-01-01 00:00:00,2024-02-18 00:00:00
10,Brendan Craig,45,2025-01-01 00:00:00,2021-09-24 00:00:00
11,Isabel Dyer,16,2025-01-01 00:00:00,2022-05-29 00:00:00
12,Jonathan Hall,46,2025-01-01 00:00:00,2020-10-25 00:00:00
13,Melissa Foley,42,2025-01-01 00:00:00,2023-10-20 00:00:00
14,Charles Harding,23,2025-01-01 00:00:00,2024-05-24 00:00:00
15,Ryan Ritter,14,2025-02-01 00:00:00,2023-12-30 00:00:00
